bibliography.congress classifications,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.rank,metadata.url,bibliography.author.birth,bibliography.author.death,bibliography.author.name,bibliography.publication.day,bibliography.publication.full,bibliography.publication.month,bibliography.publication.month name,bibliography.publication.year,metrics.difficulty.automated readability index,,
PR,en,Fiction,Pride and Prejudice,Text,36576,1342,1,https://www.gutenberg.org/ebooks/1342,1775,1817,"Austen, Jane",1,"June, 1998",6,June,1998,10.7,,
PS,en,Psychological,The Yellow Wallpaper,Text,26363,1952,2,https://www.gutenberg.org/ebooks/1952,1860,1935,"Gilman, Charlotte Perkins",1,"November, 1999",11,November,1999,7.2,,
"PZ,PR",en,Fantasy,Alice's Adventures in Wonderland,Text,18882,11,3,https://www.gutenberg.org/ebooks/11,1832,1898,"Carroll, Lewis",1,"March, 1994",3,March,1994,9.3,,
PR,en,Horror,"Frankenstein; Or, The Modern Prometheus",Text,17128,84,4,https://www.gutenberg.org/ebooks/84,1797,1851,"Shelley, Mary Wollstonecraft",17,"June 17, 2008",6,June,2008,12.6,,
PT,en,Fiction,Metamorphosis,Text,15683,5200,5,https://www.gutenberg.org/ebooks/5200,1883,1924,"Kafka, Franz",16,"August 16, 2005",8,August,2005,13.8,,
PS,en,,Adventures of Huckleberry Finn,Text,15347,76,6,https://www.gutenberg.org/ebooks/76,1835,1910,"Twain, Mark",20,"August 20, 2006",8,August,2006,8.7,,
PR,en,,The Importance of Being Earnest: A Trivial Comedy for Serious People,Text,13638,844,7,https://www.gutenberg.org/ebooks/844,1854,1900,"Wilde, Oscar",29,"August 29, 2006",8,August,2006,7,,
"PZ,PS",en,,The Adventures of Tom Sawyer,Text,13237,74,8,https://www.gutenberg.org/ebooks/74,1835,1910,"Twain, Mark",20,"August 20, 2006",8,August,2006,8.8,,
E300,en,,"Narrative of the Life of Frederick Douglass, an American Slave",Text,12794,23,9,https://www.gutenberg.org/ebooks/23,1818,1895,"Douglass, Frederick",10,"January 10, 2006",1,January,2006,10.5,,
PT,en,,A Doll's House : a play,Text,11625,2542,10,https://www.gutenberg.org/ebooks/2542,1828,1906,"Ibsen, Henrik",1,"March, 2001",3,March,2001,5.3,,
PS,en,,"Moby Dick; Or, The Whale",Text,11270,2701,11,https://www.gutenberg.org/ebooks/2701,1819,1891,"Melville, Herman",1,"June, 2001",6,June,2001,13.4,,
PR,en,,The Adventures of Sherlock Holmes,Text,11125,1661,12,https://www.gutenberg.org/ebooks/1661,1859,1930,"Doyle, Arthur Conan",14,"October 14, 1892",10,October,1892,8.2,,
PR,en,,Great Expectations,Text,11068,1400,13,https://www.gutenberg.org/ebooks/1400,1812,1870,"Dickens, Charles",1,"July, 1998",7,July,1998,9.9,,
PR,en,,Ulysses,Text,10568,4300,14,https://www.gutenberg.org/ebooks/4300,1882,1941,"Joyce, James",1,"July, 2003",7,July,2003,8.6,,
PR,en,,A Tale of Two Cities,Text,10312,98,15,https://www.gutenberg.org/ebooks/98,1812,1870,"Dickens, Charles",1,"January, 1994",1,January,1994,10.3,,
PR,en,,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",Text,10014,1080,16,https://www.gutenberg.org/ebooks/1080,1667,1745,"Swift, Jonathan",1,October 1997,10,October,1997,26.6,,
